,,,,,,,,,,,,on ground,,,,,,,,,,,,,,,,,,,,
-85.63438416,1.00E-04,0,3,0,180,13,0,0,25,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,9,0,0,0,0,2,1,0,0,0,9
-85.63438416,1.00E-04,0,3,0,235,13,0,0,26,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,22,0,0,0,0,2,1,0,0,0,52
-85.63438416,1.00E-04,0,3,0,235,26,0,0,26,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,35,0,0,0,0,2,1,0,0,0,15
-85.63438416,1.00E-04,0,3,0,39,7,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,48,0,0,0,0,2,1,0,0,0,28
-81.13201141,1.00E-04,0,3,0,60,10,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,1,0,0,0,0,2,1,0,0,0,17
-83.79821777,1.00E-04,0,3,0,60,23,0,0,0,0,2,1,3.534957886,0,0,60,1.00E-04,0,4,0,14,14,0,0,0,0,2,1,0,0,0,13
-83.86203766,1.00E-04,0,3,0,60,36,0,0,0,0,2,1,0.020877838,0,0,60,1.00E-04,0,4,0,14,27,0,0,0,0,2,1,0,0,0,45
-83.95797729,1.00E-04,0,3,0,60,49,0,0,0,0,2,1,-0.034059525,0,0,60,1.00E-04,0,4,0,14,40,0,0,0,0,2,1,0,0,0,38
-84.03904724,1.00E-04,0,3,0,178,-1,0,0,2,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,53,0,0,0,0,2,1,0,0,0,27
-84.03904724,1.00E-04,0,3,0,235,13,0,0,3,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,66,0,0,0,0,2,1,0,0,0,9
-84.03904724,1.00E-04,0,3,0,235,26,0,0,3,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,9,0,0,0,0,2,1,0,0,0,49
-84.03904724,1.00E-04,0,3,0,14,7,0,0,3,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,22,0,0,0,0,2,1,0,0,0,14
-84.03904724,1.00E-04,0,3,0,63,8,0,0,3,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,35,0,0,0,0,2,1,0,0,0,0
-84.03904724,1.00E-04,0,3,0,63,21,0,0,3,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,48,0,0,0,0,2,1,0,0,0,4
-84.03904724,1.00E-04,0,3,0,63,34,0,0,3,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,61,0,0,0,0,2,1,0,0,0,24
-84.03904724,1.00E-04,0,3,0,41,1,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,74,0,0,0,0,2,1,0,0,0,8
-77.20605469,23.22009468,0,3,0,26,9,0,0,0,0,1,0,0.773999989,2.059998989,0,60,1.00E-04,0,4,0,14,12,0,0,0,0,2,1,0,0,0,38
-87.2140274,47.66008759,0,3,0,27,13,0,0,0,0,0,0,-0.773999989,1.099999309,1,60,1.00E-04,0,4,0,14,25,0,0,0,0,2,1,0,0,0,47
-97.39598846,50.13008118,0,3,0,27,26,0,0,0,0,0,0,-0.773999989,-0.590000629,1,60,1.00E-04,0,4,0,14,38,0,0,0,0,2,1,0,0,0,33
-103.1279907,4.630081177,0,3,0,67,13,0,0,0,0,0,0,-0.188000038,-3.5,1,60,1.00E-04,0,4,0,14,51,0,0,0,0,2,1,0,0,0,17
-101.2619934,-40.86991882,0,3,0,67,26,0,0,0,0,0,0,0.377999991,-3.5,1,60,1.00E-04,0,4,0,14,4,0,0,0,0,2,1,0,0,0,34
-90.95800018,-86.36991882,0,3,0,29,4,0,0,0,0,0,0,1.08799994,-3.5,1,60,1.00E-04,0,4,0,14,17,0,0,0,0,2,1,0,0,0,50
-77.72399902,-131.8699188,0,3,0,29,1,0,0,0,0,0,0,0.958000064,-3.5,1,60,1.00E-04,0,4,0,14,30,0,0,0,0,2,1,0,0,0,47
-75.13799286,-142.3699188,0,2,0,0,-1,0,0,0,0,0,0,0,0,1,60,1.00E-04,0,4,0,14,43,0,0,0,0,2,1,0,0,0,30
-75.13799286,-142.3699188,0,2,0,0,-1,0,0,0,0,0,0,0,0,1,60,1.00E-04,0,4,0,14,56,0,0,0,0,2,1,0,0,0,26
-75.13799286,-142.3699188,0,2,0,0,-1,0,0,0,0,0,0,0,0,1,60,1.00E-04,0,4,0,14,9,0,0,0,0,2,1,0,0,0,6
-75.13799286,-142.3699188,0,2,0,0,-1,0,0,0,0,0,0,0,0,1,60,1.00E-04,0,4,0,14,22,0,0,0,0,2,1,0,0,0,52
16,110.5500031,0,2,0,12,3,0,0,0,0,1,0,0,-1.150000095,0,60,1.00E-04,0,4,0,14,35,0,0,0,0,2,1,0,0,0,26
16,95.59999084,0,2,0,12,16,0,0,0,0,1,0,0,-1.149999857,0,60,1.00E-04,0,4,0,14,48,0,0,0,0,2,1,0,0,0,24
16,80.64997101,0,2,0,12,29,0,0,0,0,1,0,0,-1.149999142,0,60,1.00E-04,0,4,0,14,1,0,0,0,0,2,1,0,0,0,22
16,65.6999588,0,2,0,12,42,0,0,0,0,1,0,0,-1.14999795,0,60,1.00E-04,0,4,0,14,14,0,0,0,0,2,1,0,0,0,17
16,50.74998474,0,2,0,12,55,0,0,0,0,1,0,0,-1.149997115,0,60,1.00E-04,0,4,0,14,27,0,0,0,0,2,1,0,0,0,44
17.67000008,40.31999588,0,2,0,29,8,0,0,0,0,1,0,0.326000035,-1.039999962,0,60,1.00E-04,0,4,0,14,40,0,0,0,0,2,1,0,0,0,13
20.99799919,14.96999454,0,2,0,65,13,0,0,0,0,1,0,0.196000069,-2.730000496,0,60,1.00E-04,0,4,0,14,53,0,0,0,0,2,1,0,0,0,33
24.40599442,1.00E-04,0,2,0,14,1,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,6,0,0,0,0,2,1,0,0,0,42
